file,noise,snr,PESQ,PermEn,D2,RR,tau,m,CSI
5639-40744-0031.flac,lorenz,0,1.1898,0.9773,2.4624,0.0269,20,4,0.2516
5639-40744-0031.flac,lorenz,5,1.3894,0.944,2.4531,0.0285,15,4,0.2556
5639-40744-0031.flac,lorenz,10,1.7688,0.9452,2.4295,0.0293,15,4,0.2542
5639-40744-0031.flac,rossler,-10,1.042,0.9651,1.7907,0.0996,25,3,0.303
5639-40744-0031.flac,rossler,-5,1.0773,0.9615,2.3796,0.0357,22,4,0.2727
5639-40744-0031.flac,rossler,0,1.1783,0.9752,2.4932,0.0274,18,4,0.2535
5639-40744-0031.flac,rossler,5,1.362,0.9611,2.5079,0.0244,16,4,0.2511
5639-40744-0031.flac,rossler,10,1.6222,0.9333,2.4257,0.0316,14,4,0.2572
5639-40744-0031.flac,chen,-10,1.0772,0.9502,2.4095,0.0438,14,4,0.2559
5639-40744-0031.flac,chen,-5,1.0845,0.9813,2.5438,0.0323,16,4,0.242
5639-40744-0031.flac,chen,0,1.1406,0.9701,2.5632,0.0294,14,4,0.2427
5639-40744-0031.flac,chen,5,1.2765,0.9568,2.5154,0.0321,14,4,0.2475
5639-40744-0031.flac,chen,10,1.5304,0.9156,2.4281,0.0359,13,4,0.2607
5639-40744-0031.flac,mackey_glass,-10,1.0923,0.8471,2.1872,0.0707,12,4,0.3015
5639-40744-0031.flac,mackey_glass,-5,1.1205,0.9103,2.4327,0.0443,13,4,0.26
5639-40744-0031.flac,mackey_glass,0,1.1948,0.9332,2.5267,0.03,13,4,0.2514
5639-40744-0031.flac,mackey_glass,5,1.3434,0.9323,2.5258,0.0333,13,4,0.2524
5639-40744-0031.flac,mackey_glass,10,1.6011,0.941,2.4675,0.0323,14,4,0.2524
5639-40744-0031.flac,duffing,-10,1.042,0.9478,2.0576,0.0887,18,4,0.2978
5639-40744-0031.flac,duffing,-5,1.0869,0.9853,2.3175,0.0486,19,4,0.2669
5639-40744-0031.flac,duffing,0,1.1842,0.9835,2.5036,0.0266,20,4,0.251
5639-40744-0031.flac,duffing,5,1.388,0.9544,2.5024,0.0255,16,4,0.2531
5639-40744-0031.flac,duffing,10,1.8284,0.9296,2.4575,0.0312,14,4,0.2583
4992-41797-0001.flac,logistic,-10,1.0201,0.9775,4.5357,0.0007,5,8,0.1666
4992-41797-0001.flac,logistic,-5,1.0208,0.9686,4.0968,0.0005,4,8,0.1643
4992-41797-0001.flac,logistic,0,1.0242,0.9625,3.9742,0.0005,6,8,0.1642
4992-41797-0001.flac,logistic,5,1.0372,0.9449,3.1189,0.0031,6,7,0.1817
4992-41797-0001.flac,logistic,10,1.0614,0.9708,2.5126,0.0308,6,4,0.1962
4992-41797-0001.flac,skew_tent,-10,1.0199,0.9776,3.6172,0.0005,6,8,0.1803
4992-41797-0001.flac,skew_tent,-5,1.0204,0.9762,4.6804,0.0005,7,8,0.1591
4992-41797-0001.flac,skew_tent,0,1.0245,0.9515,3.1645,0.0006,5,8,0.1767
4992-41797-0001.flac,skew_tent,5,1.0366,0.9243,3.1275,0.0025,5,7,0.1857
4992-41797-0001.flac,skew_tent,10,1.0653,0.9376,2.8374,0.0151,6,5,0.1953
4992-41797-0001.flac,henon,-10,1.0223,0.9677,3.1814,0.0008,5,8,0.186
4992-41797-0001.flac,henon,-5,1.0223,0.9716,3.4519,0.0007,5,8,0.1703
4992-41797-0001.flac,henon,0,1.0258,0.9602,3.78,0.0006,5,8,0.1659
4992-41797-0001.flac,henon,5,1.037,0.9597,3.0495,0.0089,5,5,0.1784
4992-41797-0001.flac,henon,10,1.0642,0.9386,2.8217,0.0188,6,5,0.1971
4992-41797-0001.flac,bernoulli,-10,4.5163,0.9566,0.5112,0.4095,6,4,0.3472
4992-41797-0001.flac,bernoulli,-5,4.5214,0.9566,1.5898,0.1716,6,4,0.2757
4992-41797-0001.flac,bernoulli,0,4.5515,0.9566,1.9077,0.0776,6,4,0.2641
4992-41797-0001.flac,bernoulli,5,4.5745,0.9566,2.0553,0.0533,6,4,0.2597
4992-41797-0001.flac,bernoulli,10,4.591,0.9566,2.1069,0.0457,6,4,0.2582
4992-41797-0001.flac,ikeda,-10,1.0227,0.9792,3.3303,0.0006,7,8,0.1564
4992-41797-0001.flac,ikeda,-5,1.0237,0.9707,4.32,0.0005,4,8,0.1445
4992-41797-0001.flac,ikeda,0,1.0283,0.9473,4.1775,0.0006,5,8,0.1544
4992-41797-0001.flac,ikeda,5,1.0408,0.9363,3.1513,0.004,6,6,0.1776
4992-41797-0001.flac,ikeda,10,1.0643,0.9479,2.8766,0.0161,7,5,0.1929
4992-41797-0001.flac,lorenz,-10,1.0497,0.9736,1.6901,0.0982,13,4,0.2862
4992-41797-0001.flac,lorenz,-5,1.0955,0.9833,1.9607,0.0666,13,4,0.264
4992-41797-0001.flac,lorenz,0,1.2345,0.9636,2.3646,0.0291,10,5,0.2507
4992-41797-0001.flac,lorenz,5,1.542,0.9806,2.34,0.0302,10,4,0.2448
4992-41797-0001.flac,lorenz,10,1.9353,0.9784,2.3614,0.0266,10,4,0.245
4992-41797-0001.flac,rossler,-10,1.0571,0.9561,1.6829,0.0659,18,4,0.2926
4992-41797-0001.flac,rossler,-5,1.1186,0.9756,1.9988,0.0516,12,4,0.2644
4992-41797-0001.flac,rossler,0,1.2923,0.9231,2.3801,0.0194,13,6,0.2606
4992-41797-0001.flac,rossler,5,1.6889,0.9594,2.4667,0.0152,10,5,0.248
4992-41797-0001.flac,rossler,10,2.088,0.9464,2.4613,0.0222,9,5,0.2519
4992-41797-0001.flac,chen,-10,1.0501,0.9441,2.4615,0.0362,11,4,0.2504
4992-41797-0001.flac,chen,-5,1.0543,0.9484,2.8409,0.0111,12,5,0.2379
4992-41797-0001.flac,chen,0,1.0982,0.9483,2.864,0.0084,11,5,0.2368
4992-41797-0001.flac,chen,5,1.2283,0.9336,2.5096,0.0206,6,4,0.2481
4992-41797-0001.flac,chen,10,1.644,0.9785,2.549,0.0212,12,4,0.2381
4992-41797-0001.flac,mackey_glass,-10,1.0508,0.9028,2.298,0.0538,10,4,0.2629
4992-41797-0001.flac,mackey_glass,-5,1.072,0.9198,2.4882,0.0377,8,4,0.25
4992-41797-0001.flac,mackey_glass,0,1.1354,0.916,2.8028,0.013,7,5,0.2438
4992-41797-0001.flac,mackey_glass,5,1.3215,0.9683,2.7945,0.0118,10,5,0.2341
4992-41797-0001.flac,mackey_glass,10,1.6633,0.9698,2.4374,0.0307,9,4,0.2441
4992-41797-0001.flac,duffing,-10,1.049,0.9574,2.1739,0.07,15,4,0.2689
4992-41797-0001.flac,duffing,-5,1.1281,0.9742,2.4383,0.037,13,4,0.2474
4992-41797-0001.flac,duffing,0,1.3658,0.9572,2.7454,0.0145,10,5,0.2421
4992-41797-0001.flac,duffing,5,1.8033,0.948,2.7169,0.0132,9,5,0.2444
4992-41797-0001.flac,duffing,10,2.2465,0.9528,2.3083,0.0314,6,4,0.2531
8224-274381-0009.flac,logistic,-10,1.0286,0.9793,3.2556,0.0008,6,8,0.204
8224-274381-0009.flac,logistic,-5,1.0274,0.979,3.3109,0.0011,6,8,0.1967
8224-274381-0009.flac,logistic,0,1.0275,0.9748,3.3926,0.0033,8,8,0.1905
8224-274381-0009.flac,logistic,5,1.0347,0.9726,3.3601,0.0226,12,8,0.1896
8224-274381-0009.flac,logistic,10,1.0659,0.9934,1.0445,0.2865,11,4,0.2524
8224-274381-0009.flac,skew_tent,-10,1.0288,0.9809,3.825,0.0009,8,8,0.2061
8224-274381-0009.flac,skew_tent,-5,1.0274,0.9777,3.3284,0.0011,8,8,0.204
8224-274381-0009.flac,skew_tent,0,1.0278,0.9741,3.4145,0.0032,8,8,0.1958
8224-274381-0009.flac,skew_tent,5,1.0353,0.9858,2.6648,0.0785,8,5,0.201
8224-274381-0009.flac,skew_tent,10,1.0664,0.9944,1.0522,0.2867,13,4,0.2549
8224-274381-0009.flac,henon,-10,1.033,0.9775,3.2652,0.0012,11,8,0.213
8224-274381-0009.flac,henon,-5,1.03,0.9787,3.2949,0.0017,12,8,0.2026
8224-274381-0009.flac,henon,0,1.0299,0.965,3.3987,0.0057,7,8,0.1968
8224-274381-0009.flac,henon,5,1.0388,0.9741,3.5827,0.0298,12,8,0.1892
8224-274381-0009.flac,henon,10,1.0725,0.9796,1.107,0.2892,7,4,0.2566
8224-274381-0009.flac,bernoulli,-10,4.5153,0.915,0.2848,0.7907,7,4,0.4319
8224-274381-0009.flac,bernoulli,-5,4.547,0.915,0.3994,0.613,7,4,0.4122
8224-274381-0009.flac,bernoulli,0,4.5738,0.915,0.5302,0.5577,7,4,0.3958
8224-274381-0009.flac,bernoulli,5,4.5924,0.915,0.5496,0.5357,7,4,0.3933
8224-274381-0009.flac,bernoulli,10,4.6113,0.915,0.6594,0.4721,7,4,0.3813
8224-274381-0009.flac,ikeda,-10,1.0315,0.9782,3.6706,0.001,9,8,0.1686
8224-274381-0009.flac,ikeda,-5,1.0289,0.9779,3.362,0.0015,9,8,0.1681
8224-274381-0009.flac,ikeda,0,1.0287,0.976,3.5653,0.0046,8,8,0.1646
8224-274381-0009.flac,ikeda,5,1.0372,0.9711,3.3468,0.0368,9,8,0.1733
8224-274381-0009.flac,ikeda,10,1.0682,0.9896,0.8319,0.2745,12,5,0.2603
8224-274381-0009.flac,lorenz,-10,1.0661,0.9383,1.4322,0.1577,16,3,0.3207
8224-274381-0009.flac,lorenz,-5,1.1333,0.9408,1.4896,0.1402,15,3,0.3077
8224-274381-0009.flac,lorenz,0,1.2852,0.9183,1.7225,0.1242,14,4,0.2994
8224-274381-0009.flac,lorenz,5,1.574,0.9595,1.5935,0.1937,16,4,0.2926
8224-274381-0009.flac,lorenz,10,2.0773,0.8784,0.9083,0.3411,7,4,0.4335
8224-274381-0009.flac,rossler,-10,1.0585,0.892,1.6485,0.132,24,3,0.3556
8224-274381-0009.flac,rossler,-5,1.1139,0.8862,1.6807,0.1248,21,3,0.3432
8224-274381-0009.flac,rossler,0,1.229,0.8818,2.0283,0.0946,26,4,0.3202
8224-274381-0009.flac,rossler,5,1.424,0.899,1.6821,0.1484,16,4,0.3395
8224-274381-0009.flac,rossler,10,1.7644,0.8719,1.1357,0.3238,7,4,0.4166
8224-274381-0009.flac,chen,-10,1.1104,0.8966,2.1149,0.0613,11,4,0.2923
8224-274381-0009.flac,chen,-5,1.1262,0.9382,2.176,0.0564,12,4,0.2635
8224-274381-0009.flac,chen,0,1.19,0.9629,2.1358,0.0745,13,4,0.2577
8224-274381-0009.flac,chen,5,1.3212,0.9583,1.9544,0.1522,12,4,0.2691
8224-274381-0009.flac,chen,10,1.6003,0.9682,0.9751,0.318,12,4,0.3179
8224-274381-0009.flac,mackey_glass,-10,1.1651,0.9624,1.6189,0.1219,12,3,0.2771
8224-274381-0009.flac,mackey_glass,-5,1.1555,0.8853,1.9427,0.0784,12,4,0.2998
8224-274381-0009.flac,mackey_glass,0,1.2335,0.9355,1.9138,0.0953,13,4,0.2674
8224-274381-0009.flac,mackey_glass,5,1.399,0.9427,1.7655,0.1779,12,4,0.2756
8224-274381-0009.flac,mackey_glass,10,1.681,0.9572,0.9645,0.3152,12,4,0.3193
8224-274381-0009.flac,duffing,-10,1.0575,0.9032,1.7502,0.1032,21,4,0.3239
8224-274381-0009.flac,duffing,-5,1.1123,0.9203,1.7946,0.0972,21,4,0.3075
8224-274381-0009.flac,duffing,0,1.2422,0.9405,1.7822,0.1172,23,4,0.2955
8224-274381-0009.flac,duffing,5,1.5722,0.8738,1.2736,0.2628,7,4,0.3947
8224-274381-0009.flac,duffing,10,2.0887,0.8947,0.9795,0.3173,7,4,0.4206
3575-170457-0036.flac,logistic,-10,1.0239,0.9785,3.301,0.0011,8,8,0.2125
3575-170457-0036.flac,logistic,-5,1.0241,0.9782,3.3844,0.0017,8,8,0.2079
3575-170457-0036.flac,logistic,0,1.0271,0.9798,3.4975,0.0054,6,8,0.2056
3575-170457-0036.flac,logistic,5,1.0349,0.9794,3.3933,0.0419,7,8,0.206
3575-170457-0036.flac,logistic,10,1.0669,0.9731,4.9026,0.4186,5,8,0.1931
3575-170457-0036.flac,skew_tent,-10,1.0248,0.9823,3.4622,0.0009,10,8,0.2219
3575-170457-0036.flac,skew_tent,-5,1.0255,0.9815,3.4079,0.0015,10,8,0.2202
3575-170457-0036.flac,skew_tent,0,1.0281,0.9797,3.5281,0.0061,10,8,0.2183
3575-170457-0036.flac,skew_tent,5,1.036,0.9771,3.4561,0.0482,8,8,0.2174
3575-170457-0036.flac,skew_tent,10,1.0677,0.9724,4.8527,0.3826,12,8,0.2021
3575-170457-0036.flac,henon,-10,1.0306,0.9806,3.3396,0.0014,17,8,0.226
3575-170457-0036.flac,henon,-5,1.0289,0.9778,3.4182,0.0028,16,8,0.221
3575-170457-0036.flac,henon,0,1.0299,0.9757,3.4841,0.0113,8,8,0.2183
3575-170457-0036.flac,henon,5,1.0373,0.9741,3.3199,0.0638,8,8,0.2182
3575-170457-0036.flac,henon,10,1.0685,0.9691,0.8159,0.3758,8,8,0.2971
3575-170457-0036.flac,bernoulli,-10,4.5207,0.9545,0,1,20,4,0.5013
3575-170457-0036.flac,bernoulli,-5,4.5353,0.9545,0,0.9911,20,4,0.5012
3575-170457-0036.flac,bernoulli,0,4.5807,0.9545,0.0048,0.9118,20,4,0.4991
3575-170457-0036.flac,bernoulli,5,4.5961,0.9545,0.0158,0.8632,20,4,0.4959
3575-170457-0036.flac,bernoulli,10,4.6076,0.9545,0.3256,0.8215,20,4,0.4379
3575-170457-0036.flac,ikeda,-10,1.0285,0.9779,3.8926,0.0013,7,8,0.1766
3575-170457-0036.flac,ikeda,-5,1.0276,0.9812,3.4461,0.0022,13,8,0.1768
3575-170457-0036.flac,ikeda,0,1.0292,0.9814,3.5419,0.0088,13,8,0.1726
3575-170457-0036.flac,ikeda,5,1.0372,0.9777,3.4283,0.063,9,8,0.1726
3575-170457-0036.flac,ikeda,10,1.0693,0.9724,0.5943,0.4311,4,8,0.2767
3575-170457-0036.flac,lorenz,-10,1.0406,0.9349,1.0982,0.2545,17,3,0.3584
3575-170457-0036.flac,lorenz,-5,1.0709,0.9193,1.0598,0.278,16,3,0.364
3575-170457-0036.flac,lorenz,0,1.199,0.9377,1.0532,0.3402,18,3,0.3563
3575-170457-0036.flac,lorenz,5,1.4674,0.9455,0.9867,0.4305,19,3,0.3571
3575-170457-0036.flac,lorenz,10,1.9263,0.9563,1.1478,0.6472,20,3,0.347
3575-170457-0036.flac,rossler,-10,1.0349,0.9067,1.2979,0.1743,30,3,0.3613
3575-170457-0036.flac,rossler,-5,1.052,0.9433,1.3841,0.2008,35,3,0.3439
3575-170457-0036.flac,rossler,0,1.1276,0.9465,1.3439,0.2278,33,3,0.3403
3575-170457-0036.flac,rossler,5,1.3981,0.952,1.5637,0.3885,32,3,0.3265
3575-170457-0036.flac,rossler,10,1.8502,0.9657,0.0556,0.6274,34,3,0.4617
3575-170457-0036.flac,chen,-10,1.061,0.921,1.6113,0.1209,11,3,0.2927
3575-170457-0036.flac,chen,-5,1.0706,0.921,1.5783,0.1379,11,3,0.2934
3575-170457-0036.flac,chen,0,1.122,0.9226,1.6799,0.1871,11,3,0.2899
3575-170457-0036.flac,chen,5,1.2593,0.9092,1.713,0.2509,12,4,0.2951
3575-170457-0036.flac,chen,10,1.5686,0.9051,0.1467,0.59,12,4,0.4352
3575-170457-0036.flac,mackey_glass,-10,1.0711,0.9537,1.4475,0.1531,12,3,0.2952
3575-170457-0036.flac,mackey_glass,-5,1.0992,0.9545,1.428,0.1727,12,3,0.2948
3575-170457-0036.flac,mackey_glass,0,1.1863,0.9726,1.2552,0.217,13,3,0.2957
3575-170457-0036.flac,mackey_glass,5,1.384,0.9615,1.5111,0.382,12,3,0.2874
3575-170457-0036.flac,mackey_glass,10,1.7064,0.8887,0.1975,0.5765,13,4,0.5571
3575-170457-0036.flac,duffing,-10,1.0355,0.9055,1.2452,0.2111,19,3,0.3646
3575-170457-0036.flac,duffing,-5,1.0767,0.8958,1.2058,0.2483,18,3,0.4242
3575-170457-0036.flac,duffing,0,1.249,0.8895,1.2157,0.3032,18,3,0.436
3575-170457-0036.flac,duffing,5,1.6092,0.9679,1.1097,0.3482,30,3,0.3446
3575-170457-0036.flac,duffing,10,2.2231,0.9679,0.0833,0.6486,27,3,0.4573
4507-16021-0032.flac,logistic,-10,1.0313,0.9785,3.3038,0.0011,8,8,0.216
4507-16021-0032.flac,logistic,-5,1.032,0.9792,3.3887,0.002,8,8,0.2139
4507-16021-0032.flac,logistic,0,1.0393,0.9792,3.4894,0.0061,8,8,0.2109
4507-16021-0032.flac,logistic,5,1.0611,0.981,3.6626,0.0503,6,8,0.2071
4507-16021-0032.flac,logistic,10,1.1401,0.982,0.1144,0.6586,6,8,0.3803
4507-16021-0032.flac,skew_tent,-10,1.0329,0.9768,3.3128,0.0012,14,8,0.2296
4507-16021-0032.flac,skew_tent,-5,1.0338,0.9785,3.4288,0.0021,10,8,0.2268
4507-16021-0032.flac,skew_tent,0,1.0447,0.978,3.5397,0.0072,12,8,0.2235
4507-16021-0032.flac,skew_tent,5,1.071,0.98,3.5677,0.067,8,8,0.2205
4507-16021-0032.flac,skew_tent,10,1.16,0.9792,0.2241,0.567,10,8,0.3725
4507-16021-0032.flac,henon,-10,1.0453,0.98,3.3431,0.0015,16,8,0.2329
4507-16021-0032.flac,henon,-5,1.041,0.9761,3.4162,0.0038,13,8,0.2318
4507-16021-0032.flac,henon,0,1.05,0.9784,3.4911,0.0106,13,8,0.2281
4507-16021-0032.flac,henon,5,1.0735,0.9791,3.5086,0.0696,19,8,0.2252
4507-16021-0032.flac,henon,10,1.1649,0.9737,0.1192,0.5431,10,8,0.3966
4507-16021-0032.flac,bernoulli,-10,4.5194,0.9586,0,1,6,8,0.4959
4507-16021-0032.flac,bernoulli,-5,4.5486,0.9586,0.0001,0.9999,6,8,0.4958
4507-16021-0032.flac,bernoulli,0,4.571,0.9586,0.0571,0.9607,6,8,0.482
4507-16021-0032.flac,bernoulli,5,4.5841,0.9586,0.0511,0.9735,6,8,0.4834
4507-16021-0032.flac,bernoulli,10,4.5879,0.9586,0.0437,0.97,6,8,0.4851
4507-16021-0032.flac,ikeda,-10,1.0394,0.978,3.8715,0.0011,8,8,0.1812
4507-16021-0032.flac,ikeda,-5,1.0383,0.9782,3.4369,0.0021,8,8,0.1848
4507-16021-0032.flac,ikeda,0,1.0473,0.9796,3.5456,0.008,12,8,0.1811
4507-16021-0032.flac,ikeda,5,1.0742,0.9801,3.5833,0.0736,8,8,0.1792
4507-16021-0032.flac,ikeda,10,1.1749,0.9798,0.1209,0.5622,8,8,0.3489
4507-16021-0032.flac,lorenz,-10,1.044,0.8985,1.058,0.2648,15,3,0.4321
4507-16021-0032.flac,lorenz,-5,1.0742,0.9022,1.021,0.308,15,3,0.3722
4507-16021-0032.flac,lorenz,0,1.1722,0.9186,0.9197,0.3533,16,3,0.3709
4507-16021-0032.flac,lorenz,5,1.4308,0.9234,0.8996,0.4988,16,3,0.3702
4507-16021-0032.flac,lorenz,10,1.8505,0.9411,0.0073,0.7793,17,3,0.482
4507-16021-0032.flac,rossler,-10,1.029,0.9134,1.1715,0.1722,35,3,0.3684
4507-16021-0032.flac,rossler,-5,1.0395,0.9425,1.1477,0.1931,39,3,0.3596
4507-16021-0032.flac,rossler,0,1.0737,0.8808,1.0619,0.2707,30,3,0.4419
4507-16021-0032.flac,rossler,5,1.1993,0.8625,1.2757,0.4668,27,3,0.481
4507-16021-0032.flac,rossler,10,1.4836,0.9453,0.0105,0.7968,38,3,0.4889
4507-16021-0032.flac,chen,-10,1.0769,0.899,1.5751,0.1211,10,3,0.3276
4507-16021-0032.flac,chen,-5,1.0721,0.9218,1.533,0.1407,11,3,0.2953
4507-16021-0032.flac,chen,0,1.1234,0.9029,1.362,0.2178,10,3,0.3083
4507-16021-0032.flac,chen,5,1.2706,0.9287,1.7387,0.3879,11,3,0.2872
4507-16021-0032.flac,chen,10,1.5503,0.9121,0.0091,0.8078,10,3,0.4577
4507-16021-0032.flac,mackey_glass,-10,1.0709,0.9335,1.4019,0.1588,11,3,0.3029
4507-16021-0032.flac,mackey_glass,-5,1.0956,0.9347,1.3512,0.1783,11,3,0.3041
4507-16021-0032.flac,mackey_glass,0,1.1566,0.936,1.2165,0.2345,11,3,0.3092
4507-16021-0032.flac,mackey_glass,5,1.2964,0.9572,1.3398,0.4066,12,3,0.2962
4507-16021-0032.flac,mackey_glass,10,1.5816,0.9583,0.0231,0.7971,12,3,0.4363
4507-16021-0032.flac,duffing,-10,1.0311,0.906,1.231,0.2028,19,3,0.3648
4507-16021-0032.flac,duffing,-5,1.0553,0.8964,1.1609,0.24,18,3,0.4239
4507-16021-0032.flac,duffing,0,1.1747,0.9083,1.0471,0.3224,19,3,0.3708
4507-16021-0032.flac,duffing,5,1.4514,0.9227,0.6785,0.4825,20,3,0.3932
4507-16021-0032.flac,duffing,10,1.9425,0.9285,0.0078,0.8162,20,3,0.4946
8224-274381-0016.flac,logistic,-10,1.0268,0.979,3.2885,0.0006,5,8,0.189
8224-274381-0016.flac,logistic,-5,1.0254,0.9752,4.0378,0.0006,10,8,0.1756
8224-274381-0016.flac,logistic,0,1.0254,0.98,3.0598,0.0116,8,5,0.184
8224-274381-0016.flac,logistic,5,1.0303,0.9924,2.4551,0.0368,24,4,0.1965
8224-274381-0016.flac,logistic,10,1.0515,0.983,2.0066,0.08,16,4,0.2254
8224-274381-0016.flac,skew_tent,-10,1.0269,0.9773,4.5342,0.0005,7,8,0.1888
8224-274381-0016.flac,skew_tent,-5,1.0255,0.9764,3.0501,0.0006,5,8,0.1963
8224-274381-0016.flac,skew_tent,0,1.0256,0.9883,3.0845,0.012,5,5,0.1882
8224-274381-0016.flac,skew_tent,5,1.0307,0.9829,2.416,0.0486,7,4,0.2048
8224-274381-0016.flac,skew_tent,10,1.0524,0.9841,2.0505,0.0814,22,4,0.2254
8224-274381-0016.flac,henon,-10,1.0303,0.9501,3.2077,0.0009,5,8,0.2049
8224-274381-0016.flac,henon,-5,1.0277,0.9095,3.1386,0.0018,3,8,0.2095
8224-274381-0016.flac,henon,0,1.0276,0.9761,2.4528,0.0357,3,4,0.2017
8224-274381-0016.flac,henon,5,1.0337,0.9867,2.2733,0.0584,3,4,0.2073
8224-274381-0016.flac,henon,10,1.0578,0.9673,1.8168,0.0958,10,4,0.2399
8224-274381-0016.flac,bernoulli,-10,4.5123,0.9671,0.7393,0.4818,16,4,0.3492
8224-274381-0016.flac,bernoulli,-5,4.5471,0.9671,0.9747,0.2929,16,4,0.3305
8224-274381-0016.flac,bernoulli,0,4.5743,0.9671,1.1381,0.1816,16,4,0.3199
8224-274381-0016.flac,bernoulli,5,4.5931,0.9671,1.2493,0.1399,16,4,0.3137
8224-274381-0016.flac,bernoulli,10,4.6157,0.9671,1.3035,0.1218,16,4,0.311
8224-274381-0016.flac,ikeda,-10,1.0288,0.9797,4.1628,0.0006,7,8,0.1516
8224-274381-0016.flac,ikeda,-5,1.0266,0.9719,3.8923,0.0009,4,8,0.1554
8224-274381-0016.flac,ikeda,0,1.0261,0.9641,3.2338,0.0073,4,6,0.1703
8224-274381-0016.flac,ikeda,5,1.0315,0.9876,2.457,0.0399,16,4,0.1897
8224-274381-0016.flac,ikeda,10,1.0544,0.9802,2.0173,0.0783,15,4,0.2212
8224-274381-0016.flac,lorenz,-10,1.0518,0.97,2.0475,0.0651,24,4,0.2913
8224-274381-0016.flac,lorenz,-5,1.1045,0.9822,2.1845,0.0487,25,4,0.278
8224-274381-0016.flac,lorenz,0,1.2312,0.9786,2.0956,0.0603,24,4,0.2786
8224-274381-0016.flac,lorenz,5,1.49,0.9767,1.9206,0.0773,24,4,0.2835
8224-274381-0016.flac,lorenz,10,1.9759,0.9721,1.829,0.0874,29,4,0.2869
8224-274381-0016.flac,rossler,-10,1.0456,0.8941,1.771,0.0917,23,3,0.3423
8224-274381-0016.flac,rossler,-5,1.0872,0.8549,2.1048,0.0445,23,4,0.3237
8224-274381-0016.flac,rossler,0,1.1752,0.8819,2.0571,0.0376,25,4,0.313
8224-274381-0016.flac,rossler,5,1.3566,0.9114,2.0362,0.0384,31,4,0.2976
8224-274381-0016.flac,rossler,10,1.6906,0.9285,1.8919,0.0599,31,4,0.2961
8224-274381-0016.flac,chen,-10,1.0886,0.9331,2.4247,0.0323,13,4,0.261
8224-274381-0016.flac,chen,-5,1.1065,0.9818,2.5037,0.0267,17,4,0.2475
8224-274381-0016.flac,chen,0,1.1694,0.9872,2.4336,0.0262,17,4,0.2529
8224-274381-0016.flac,chen,5,1.2935,0.9871,2.2848,0.0426,21,4,0.2627
8224-274381-0016.flac,chen,10,1.5487,0.9889,1.9771,0.0718,26,4,0.2741
8224-274381-0016.flac,mackey_glass,-10,1.1116,0.8947,2.2522,0.0476,14,4,0.2849
8224-274381-0016.flac,mackey_glass,-5,1.1374,0.9305,2.3425,0.0315,14,4,0.2611
8224-274381-0016.flac,mackey_glass,0,1.219,0.9674,2.3448,0.0314,16,4,0.2569
8224-274381-0016.flac,mackey_glass,5,1.352,0.9835,2.2077,0.04,16,4,0.2646
8224-274381-0016.flac,mackey_glass,10,1.6143,0.9797,1.8776,0.0722,24,4,0.2799
8224-274381-0016.flac,duffing,-10,1.0449,0.9204,2.0311,0.0621,24,4,0.3123
8224-274381-0016.flac,duffing,-5,1.085,0.9455,2.1149,0.0447,27,4,0.2952
8224-274381-0016.flac,duffing,0,1.203,0.9625,2.1579,0.0427,30,4,0.2832
8224-274381-0016.flac,duffing,5,1.5036,0.956,2.0047,0.0557,27,4,0.2861
8224-274381-0016.flac,duffing,10,2.0487,0.9596,1.7622,0.093,28,4,0.2925
2961-960-0000.flac,logistic,-10,1.0342,0.9795,3.2521,0.0011,6,8,0.1836
2961-960-0000.flac,logistic,-5,1.0378,0.9765,3.5003,0.001,6,8,0.1663
2961-960-0000.flac,logistic,0,1.0511,0.9774,3.4041,0.0021,3,8,0.1567
2961-960-0000.flac,logistic,5,1.0965,0.9661,3.4306,0.0099,2,8,0.1565
2961-960-0000.flac,logistic,10,1.2619,0.9737,2.6989,0.1044,3,5,0.1718
2961-960-0000.flac,skew_tent,-10,1.0379,0.9766,3.235,0.0008,8,8,0.1894
2961-960-0000.flac,skew_tent,-5,1.0402,0.9754,3.2708,0.0012,6,8,0.172
2961-960-0000.flac,skew_tent,0,1.0567,0.9736,3.4006,0.0023,3,8,0.1595
2961-960-0000.flac,skew_tent,5,1.1044,0.9687,3.4394,0.0078,3,8,0.1559
2961-960-0000.flac,skew_tent,10,1.2657,0.9488,2.9712,0.0642,3,6,0.1718
2961-960-0000.flac,henon,-10,1.0466,0.9787,3.3093,0.0014,10,8,0.1891
2961-960-0000.flac,henon,-5,1.0505,0.9783,3.3447,0.0014,8,8,0.1716
2961-960-0000.flac,henon,0,1.0659,0.9473,3.3688,0.0026,3,8,0.1671
2961-960-0000.flac,henon,5,1.1146,0.963,3.4126,0.008,3,8,0.1592
2961-960-0000.flac,henon,10,1.2761,0.9545,2.9759,0.0535,3,6,0.1716
2961-960-0000.flac,bernoulli,-10,4.5245,0.9793,0.0654,0.8669,2,4,0.3626
2961-960-0000.flac,bernoulli,-5,4.5517,0.9793,0.4483,0.5869,2,4,0.2991
2961-960-0000.flac,bernoulli,0,4.5721,0.9793,0.8032,0.3739,2,4,0.2641
2961-960-0000.flac,bernoulli,5,4.5835,0.9793,1.3912,0.2801,2,4,0.2295
2961-960-0000.flac,bernoulli,10,4.585,0.9793,1.5006,0.2534,2,4,0.2248
2961-960-0000.flac,ikeda,-10,1.0437,0.98,3.2538,0.001,7,8,0.161
