file,noise,snr,PESQ,PermEn,D2,RR,tau,m,CSI
1995-1836-0004.flac,skew_tent,5,1.0307,0.9448,3.1068,0.0068,10,5,0.1831
1995-1836-0004.flac,skew_tent,10,1.052,0.9653,2.6918,0.0198,10,4,0.1931
1995-1836-0004.flac,henon,-10,1.0242,0.9717,3.6235,0.0007,7,8,0.1803
1995-1836-0004.flac,henon,-5,1.0229,0.9706,4.4943,0.0006,5,8,0.1615
1995-1836-0004.flac,henon,0,1.0251,0.9436,3.6536,0.0007,3,8,0.1716
1995-1836-0004.flac,henon,5,1.0324,0.946,3.1139,0.0075,10,5,0.1816
1995-1836-0004.flac,henon,10,1.0529,0.9642,2.6942,0.0191,10,4,0.1933
1995-1836-0004.flac,bernoulli,-10,4.6275,0.9655,2.2498,0.4459,11,4,0.2553
1995-1836-0004.flac,bernoulli,-5,4.5941,0.9655,1.7944,0.1439,11,4,0.2653
1995-1836-0004.flac,bernoulli,0,4.6437,0.9655,2.1094,0.054,11,4,0.2554
1995-1836-0004.flac,bernoulli,5,4.6438,0.9655,2.2391,0.0333,11,4,0.252
1995-1836-0004.flac,bernoulli,10,4.6439,0.9655,2.2797,0.0291,11,4,0.251
1995-1836-0004.flac,ikeda,-10,1.0243,0.9744,4.1764,0.0006,4,8,0.1491
1995-1836-0004.flac,ikeda,-5,1.0231,0.9697,3.0417,0.0006,4,8,0.1597
1995-1836-0004.flac,ikeda,0,1.0244,0.9427,3.6459,0.0007,4,8,0.1601
1995-1836-0004.flac,ikeda,5,1.0307,0.9512,3.1158,0.0085,11,5,0.1736
1995-1836-0004.flac,ikeda,10,1.0516,0.9651,2.6995,0.0173,10,4,0.1909
1995-1836-0004.flac,lorenz,-10,1.026,0.959,1.9269,0.1045,15,4,0.2873
1995-1836-0004.flac,lorenz,-5,1.0405,0.9795,2.2663,0.0481,17,4,0.2596
1995-1836-0004.flac,lorenz,0,1.0854,0.9728,2.4604,0.0258,11,4,0.2501
1995-1836-0004.flac,lorenz,5,1.2464,0.9698,2.4936,0.0212,11,4,0.2475
1995-1836-0004.flac,lorenz,10,1.5942,0.9655,2.4663,0.021,11,4,0.2482
1995-1836-0004.flac,rossler,-10,1.0217,0.8596,1.9145,0.0844,24,4,0.3371
1995-1836-0004.flac,rossler,-5,1.0323,0.9566,2.2104,0.0424,17,4,0.2711
1995-1836-0004.flac,rossler,0,1.0634,0.9507,2.3445,0.0326,15,4,0.2605
1995-1836-0004.flac,rossler,5,1.1692,0.9533,2.4214,0.0218,10,4,0.2537
1995-1836-0004.flac,rossler,10,1.4774,0.9522,2.4148,0.0224,10,4,0.2522
1995-1836-0004.flac,chen,-10,1.0434,0.9322,2.4636,0.0413,11,4,0.2556
1995-1836-0004.flac,chen,-5,1.039,0.9798,2.6034,0.0267,12,4,0.239
1995-1836-0004.flac,chen,0,1.056,0.979,2.6395,0.0206,11,4,0.2382
1995-1836-0004.flac,chen,5,1.116,0.9627,2.6256,0.0171,10,4,0.2424
1995-1836-0004.flac,chen,10,1.2903,0.9615,2.5538,0.0189,10,4,0.2448
1995-1836-0004.flac,mackey_glass,-10,1.0385,0.9039,2.4789,0.0521,12,4,0.2621
1995-1836-0004.flac,mackey_glass,-5,1.0448,0.9382,2.5772,0.0343,11,4,0.2473
1995-1836-0004.flac,mackey_glass,0,1.0711,0.9507,2.6195,0.0225,10,4,0.2444
1995-1836-0004.flac,mackey_glass,5,1.1574,0.9784,2.6245,0.0167,11,4,0.2398
1995-1836-0004.flac,mackey_glass,10,1.3439,0.9742,2.5149,0.0204,11,4,0.2436
1995-1836-0004.flac,duffing,-10,1.0196,0.9426,2.1347,0.0781,16,4,0.2868
1995-1836-0004.flac,duffing,-5,1.0321,0.9626,2.315,0.0415,13,4,0.2645
1995-1836-0004.flac,duffing,0,1.0943,0.96,2.4958,0.0252,13,4,0.2528
1995-1836-0004.flac,duffing,5,1.322,0.9631,2.5569,0.0208,11,4,0.2467
1995-1836-0004.flac,duffing,10,1.7852,0.963,2.5085,0.0195,11,4,0.2459
7021-79730-0003.flac,logistic,-10,1.0293,0.979,3.3021,0.0012,9,8,0.2168
7021-79730-0003.flac,logistic,-5,1.0286,0.9792,3.3943,0.0024,8,8,0.2155
7021-79730-0003.flac,logistic,0,1.0303,0.9794,3.4901,0.0068,8,8,0.2143
7021-79730-0003.flac,logistic,5,1.0356,0.9794,3.3174,0.0495,10,8,0.2167
7021-79730-0003.flac,logistic,10,1.0538,0.9786,0.0636,0.6699,7,8,0.3974
7021-79730-0003.flac,skew_tent,-10,1.0411,0.9803,3.6792,0.0011,10,8,0.2244
7021-79730-0003.flac,skew_tent,-5,1.0295,0.9803,3.4265,0.0019,10,8,0.2275
7021-79730-0003.flac,skew_tent,0,1.0312,0.9802,3.5356,0.0072,10,8,0.2261
7021-79730-0003.flac,skew_tent,5,1.0377,0.9802,3.3938,0.0692,10,8,0.2282
7021-79730-0003.flac,skew_tent,10,1.0575,0.9805,0.0677,0.6339,10,8,0.4081
7021-79730-0003.flac,henon,-10,1.034,0.978,3.3483,0.0021,17,8,0.2347
7021-79730-0003.flac,henon,-5,1.0311,0.98,3.4226,0.0028,19,8,0.2333
7021-79730-0003.flac,henon,0,1.0324,0.9799,3.4977,0.0117,19,8,0.2324
